Time,Lat,Lon,Altitude,Accuracy,Heading,Speed,Battery
1739982767.780493,42.360128,-71.094577,7.811095,29.968997,-1.000000,-1.000000,0.950000
1739982767.799000,42.360128,-71.094577,7.810927,40.451872,-1.000000,-1.000000,0.950000
1739982835.400762,42.360922,-71.093344,7.811950,23.158655,-1.000000,-1.000000,0.950000
1739982886.042641,42.360919,-71.093347,7.810927,71.371745,-1.000000,-1.000000,0.950000
1739982888.196338,42.361267,-71.092643,20.629085,28.492728,-1.000000,-1.000000,0.950000
1739982888.984810,42.361298,-71.092633,9.738777,28.601123,-1.000000,-1.000000,0.950000
1739982914.257890,42.361300,-71.092628,9.740280,55.201434,-1.000000,-1.000000,0.950000
1739982914.264937,42.361300,-71.092628,9.740280,55.201449,-1.000000,-1.000000,0.950000
1739982933.687820,42.361583,-71.092033,9.739162,38.847097,-1.000000,-1.000000,0.950000
