Time,Lat,Lon,Altitude,Accuracy,Heading,Speed,Battery
1739983645.999660,42.360684,-71.093585,4.615472,14.245955,58.498516,1.802216,0.900000
1739983646.999654,42.360695,-71.093563,5.007982,14.245955,58.498516,1.988586,0.900000
1739983647.999647,42.360711,-71.093543,4.565616,14.245955,58.498516,2.586221,0.900000
1739983648.999640,42.360713,-71.093526,4.649805,14.245955,58.498516,1.740491,0.900000
1739983649.999633,42.360721,-71.093513,4.715157,14.245955,58.498516,1.499497,0.900000
1739983650.999626,42.360735,-71.093495,4.618331,14.245955,58.751873,1.810305,0.900000
1739983651.999620,42.360750,-71.093481,4.411887,14.245955,58.751873,1.762649,0.900000
1739983652.999613,42.360762,-71.093461,4.613589,14.245955,58.751873,1.834928,0.900000
1739983653.999607,42.360776,-71.093443,4.406869,14.245955,58.751873,2.032932,0.900000
1739983654.999600,42.360786,-71.093422,4.447580,14.245955,58.751873,2.076581,0.900000
1739983655.999593,42.360787,-71.093407,4.670242,14.245955,58.751873,1.676281,0.900000
1739983656.999587,42.360799,-71.093393,4.672231,14.245955,58.751873,1.538095,0.900000
1739983657.999580,42.360812,-71.093376,4.452057,14.245955,58.751873,1.740372,0.900000
1739983658.999572,42.360821,-71.093359,4.411602,14.245955,58.751873,1.708138,0.900000
1739983659.999567,42.360823,-71.093338,4.577880,14.245955,58.751873,1.569429,0.900000
1739983660.999559,42.360819,-71.093318,4.581416,14.245955,58.751873,1.462289,0.900000
1739983661.999553,42.360831,-71.093298,5.200524,14.245954,58.751873,1.719711,0.900000
1739983662.999546,42.360841,-71.093277,4.570782,14.245954,58.751873,1.891259,0.900000
1739983663.999539,42.360848,-71.093257,4.686779,14.245954,58.751873,1.870718,0.900000
1739983664.999532,42.360858,-71.093243,4.701672,14.245954,58.751873,1.687595,0.900000
1739983665.999526,42.360870,-71.093226,4.696767,14.245954,56.669659,1.700299,0.900000
1739983666.999518,42.360884,-71.093216,4.399166,14.245954,56.669659,1.596370,0.900000
1739983667.999511,42.360891,-71.093197,4.370072,14.245954,56.669659,1.692487,0.900000
1739983668.999505,42.360903,-71.093178,4.450277,14.245954,56.669659,1.924496,0.900000
1739983669.999498,42.360914,-71.093164,4.433787,14.245954,56.669659,1.826456,0.900000
1739983670.999491,42.360925,-71.093147,4.751241,14.245954,56.669659,1.877746,0.900000
1739983671.999484,42.360944,-71.093117,4.345919,14.245954,56.669659,2.578968,0.900000
1739983672.999477,42.360949,-71.093112,4.303807,14.245954,56.669659,1.714669,0.900000
1739983673.999471,42.360954,-71.093093,4.585410,14.245954,56.669659,1.701425,0.900000
1739983674.999464,42.360960,-71.093078,4.626297,14.245954,56.669659,1.622266,0.900000
1739983675.999457,42.360963,-71.093059,3.732057,14.245954,56.669659,1.624627,0.900000
1739983676.999451,42.360974,-71.093040,3.919270,14.245954,56.669659,1.845287,0.900000
1739983677.999444,42.360981,-71.093022,3.619113,14.245954,56.669659,1.784969,0.900000
1739983678.999437,42.360989,-71.093006,3.446468,14.245954,56.669659,1.692091,0.900000
1739983679.999430,42.361003,-71.092985,3.351797,14.245954,56.669659,1.953575,0.900000
1739983680.999423,42.361016,-71.092966,3.575981,14.245954,56.216797,2.051417,0.900000
1739983681.999416,42.361027,-71.092951,3.670940,14.245954,56.216797,1.910954,0.900000
1739983682.999409,42.361032,-71.092942,4.200601,14.245954,56.216797,1.483334,0.900000
1739983683.999402,42.361042,-71.092924,4.052257,14.245954,56.216797,1.616234,0.900000
1739983684.999396,42.361050,-71.092907,3.669913,14.245954,55.819283,1.715561,0.900000
1739983685.999389,42.361066,-71.092896,4.083499,14.245954,55.819283,1.774305,0.900000
1739983686.999382,42.361072,-71.092873,4.088531,14.245954,55.819283,1.928567,0.900000
1739983687.999375,42.361080,-71.092858,4.278838,14.245954,55.819283,1.715875,0.900000
1739983688.999368,42.361091,-71.092837,4.168090,14.245954,55.819283,1.947454,0.900000
1739983689.999362,42.361107,-71.092820,3.600729,14.245954,55.819283,2.050611,0.900000
1739983690.999354,42.361114,-71.092804,4.007806,14.245954,55.819283,1.807674,0.900000
1739983691.999348,42.361118,-71.092788,3.837789,14.245954,55.905533,1.592380,0.900000
1739983692.999341,42.361119,-71.092775,3.890077,14.245954,55.905533,1.324562,0.900000
1739983693.999334,42.361128,-71.092757,4.076252,14.245954,55.905533,1.465980,0.900000
1739983694.999328,42.361137,-71.092733,4.226524,14.245954,55.905533,1.831079,0.900000
1739983695.999320,42.361146,-71.092716,4.270101,14.245954,55.489704,1.795419,0.900000
1739983696.999313,42.361154,-71.092696,4.344491,14.245954,55.489704,1.820238,0.900000
1739983697.999306,42.361163,-71.092684,4.460928,14.245954,55.489704,1.643022,0.900000
1739983698.999300,42.361174,-71.092667,4.752780,14.245954,55.489704,1.677835,0.900000
1739983699.999292,42.361182,-71.092649,4.538602,14.245954,55.489704,1.627369,0.900000
1739983700.999285,42.361188,-71.092632,4.553169,14.245954,55.489704,1.552725,0.900000
1739983701.999279,42.361197,-71.092616,4.496908,14.245954,55.489704,1.548289,0.900000
1739983702.999272,42.361205,-71.092600,4.320225,14.245954,55.489704,1.568887,0.900000
1739983703.999265,42.361212,-71.092584,4.664759,14.245954,55.489704,1.563624,0.900000
1739983704.999259,42.361217,-71.092558,4.615941,14.245954,55.489704,1.895226,0.900000
1739983705.999251,42.361223,-71.092539,4.418670,14.245954,55.489704,1.777104,0.900000
1739983706.999244,42.361227,-71.092525,4.184669,14.245954,55.489704,1.462157,0.900000
1739983707.999238,42.361245,-71.092511,4.496743,14.245954,55.489704,1.579328,0.900000
1739983708.999231,42.361253,-71.092484,4.365250,14.245954,56.368435,1.949064,0.900000
1739983709.999224,42.361259,-71.092461,4.127591,14.245954,56.368435,2.116974,0.900000
1739983710.999217,42.361261,-71.092448,3.712981,14.245954,56.368435,1.646133,0.900000
1739983711.999210,42.361276,-71.092430,4.293337,14.245954,56.342976,1.863058,0.900000
1739983712.999204,42.361285,-71.092413,4.534066,14.245954,56.342976,1.741716,0.900000
1739983713.999197,42.361292,-71.092390,4.526916,14.245954,56.342976,1.814914,0.900000
1739983714.999189,42.361304,-71.092368,4.348503,14.245954,56.839626,2.012549,0.900000
1739983715.999182,42.361308,-71.092359,4.176961,14.245954,56.839626,1.492592,0.900000
1739983716.999176,42.361316,-71.092340,4.144502,14.245954,56.839626,1.585235,0.900000
1739983717.999169,42.361324,-71.092324,4.369233,14.245954,56.839626,1.527730,0.900000
1739983718.999162,42.361329,-71.092293,4.444520,14.245955,56.839626,2.014394,0.900000
