Time,Lat,Lon,Altitude,Accuracy,Heading,Speed,Battery
1739982348.681582,42.362648,-71.089890,3.728073,19.487627,-1.000000,-1.000000,0.950000
1739982358.211885,42.362481,-71.089828,3.727558,37.170902,-1.000000,-1.000000,0.950000
1739982358.211885,42.362481,-71.089828,3.727558,37.170902,-1.000000,-1.000000,0.950000
1739982358.496683,42.362481,-71.089828,3.727558,37.200107,-1.000000,-1.000000,0.950000
1739982358.828975,42.362551,-71.089919,3.757562,29.242819,-1.000000,-1.000000,0.950000
1739982360.311835,42.362546,-71.089925,3.757554,29.877160,-1.000000,-1.000000,0.950000
1739982360.321818,42.362551,-71.089919,3.757562,29.242819,-1.000000,-1.000000,0.950000
1739982370.692531,42.362546,-71.089925,3.757608,38.194584,-1.000000,-1.000000,0.950000
1739982385.018530,42.362546,-71.089925,3.757608,38.194584,-1.000000,-1.000000,0.950000
1739982385.034010,42.362546,-71.089925,3.757608,51.948617,-1.000000,-1.000000,0.950000
1739982385.289441,42.362479,-71.090086,3.757325,44.707087,-1.000000,-1.000000,0.950000
1739982385.606909,42.362331,-71.090408,13.375456,26.631646,-1.000000,-1.000000,0.950000
1739982386.580914,42.362332,-71.090408,13.375971,27.253346,-1.000000,-1.000000,0.950000
1739982387.000985,42.362328,-71.090416,13.375456,26.674939,-1.000000,-1.000000,0.950000
1739982387.029495,42.362328,-71.090416,13.375971,26.675117,-1.000000,-1.000000,0.950000
1739982390.825660,42.362322,-71.090450,13.375437,29.752198,-1.000000,-1.000000,0.950000
1739982390.840255,42.362322,-71.090450,13.375971,29.752289,-1.000000,-1.000000,0.950000
1739982392.774802,42.362322,-71.090450,13.375437,31.265935,-1.000000,-1.000000,0.950000
1739982392.774802,42.362322,-71.090450,13.375437,31.265935,-1.000000,-1.000000,0.950000
1739982402.921825,42.362074,-71.091104,36.471621,40.000000,-1.000000,-1.000000,0.950000
1739982405.823937,42.362322,-71.090449,13.375971,45.897523,-1.000000,-1.000000,0.950000
1739982407.749302,42.362322,-71.090449,13.375971,45.897523,-1.000000,-1.000000,0.950000
1739982407.764645,42.362322,-71.090449,13.375971,47.352524,-1.000000,-1.000000,0.950000
1739982421.963664,42.362322,-71.090449,13.375971,47.352524,-1.000000,-1.000000,0.950000
1739982421.985737,42.362323,-71.090447,13.375971,59.035666,-1.000000,-1.000000,0.950000
1739982425.107611,42.362323,-71.090447,13.375971,59.035666,-1.000000,-1.000000,0.950000
1739982425.123260,42.362323,-71.090447,13.375971,60.579987,-1.000000,-1.000000,0.950000
1739982427.111261,42.362323,-71.090447,13.375971,60.579987,-1.000000,-1.000000,0.950000
1739982427.127363,42.362323,-71.090447,13.375971,61.234344,-1.000000,-1.000000,0.950000
1739982428.660632,42.362323,-71.090447,13.375971,61.234344,-1.000000,-1.000000,0.950000
1739982428.676681,42.362323,-71.090447,13.375971,61.714723,-1.000000,-1.000000,0.950000
1739982429.055483,42.362052,-71.091070,24.212860,31.101814,-1.000000,-1.000000,0.950000
1739982430.610129,42.362024,-71.091127,22.894480,31.669750,-1.000000,-1.000000,0.950000
1739982430.610129,42.362024,-71.091127,22.894480,31.669750,-1.000000,-1.000000,0.950000
1739982430.638998,42.362024,-71.091127,22.895365,31.669887,-1.000000,-1.000000,0.950000
1739982431.903165,42.361989,-71.091105,23.326809,31.698963,-1.000000,-1.000000,0.950000
1739982431.915002,42.361989,-71.091105,23.326809,31.698970,-1.000000,-1.000000,0.950000
1739982431.931894,42.361989,-71.091105,23.327720,31.699061,-1.000000,-1.000000,0.950000
1739982456.064671,42.361987,-71.091108,23.324810,55.996728,-1.000000,-1.000000,0.950000
1739982456.072693,42.361987,-71.091108,23.324810,55.996748,-1.000000,-1.000000,0.950000
1739982456.075796,42.361987,-71.091108,23.324810,55.996753,-1.000000,-1.000000,0.950000
