Time,Lat,Lon,Altitude,Accuracy,Heading,Speed,Battery
1740061353.868369,42.35164767,-71.10016078,11.966720453985996,752.6679286155658,-1,-1,0.75
1740061474.456514,42.355593091937195,-71.09884632,6.848694855902366,19.994551217534767,-1,-1,0.75
1740061474.5113301,42.35559031027291,-71.09884726,6.837800080511741,19.992552553680905,-1,-1,0.75
1740061475.2562609,42.355580180481624,-71.09882151,6.815692767897168,19.992552354176823,-1,-1,0.75
1740061475.371064,42.355580180481624,-71.09882151,6.804801807203809,19.992552383085485,-1,-1,0.75
1740061481.288155,42.355580180481624,-71.09882151,6.804801807203809,19.992633467555937,-1,-1,0.75
1740061482,42.35557758162258,-71.09880976,6.9549047277461895,14.139530769818775,-1,-1,0.75
1740061605.009876,42.35557608372285,-71.09880372,6.890493478169898,15.139820640354703,-1,-1,0.75
1740061605.081009,42.35557449067538,-71.09880426,6.879602517476538,15.138952892542445,-1,-1,0.75
1740061605.830744,42.35557448323756,-71.09880415,6.890493478169898,15.13895410712596,-1,-1,0.75
1740061605.830744,42.35557448323756,-71.09880415,6.890493478169898,15.138954107134388,-1,-1,0.75
1740061605.950268,42.35557448323756,-71.09880415,6.879602517476538,15.138954147743814,-1,-1,0.75
1740061797.206232,42.355570263631705,-71.09880559,6.879602517476538,24.640098024778997,-1,-1,0.75
1740061797.801503,42.355573030342185,-71.09880096,6.812054238325388,15.528471535036152,-1,-1,0.75
1740061859.267075,42.35557135276067,-71.09880153,6.801163277632028,15.537137503800034,-1,-1,0.75
1740061859.558207,42.35557453,-71.09880518,6.6337833037049805,12.269747848463906,-1,-1,0.75
1740062432.857297,42.35557458251836,-71.09880251,6.6337833037049805,11.920319217499902,-1,-1,0.7
1740062997.441399,42.35556040922587,-71.09880734,6.622892343011621,45.15858349708891,-1,-1,0.7
1740062998.104074,42.355576877781786,-71.09879532,7.378610796668838,18.286808096084528,-1,-1,0.7
1740063557.429387,42.355593245461606,-71.09877931,7.308289983546118,18.681307569195884,-1,-1,0.7
1740063563.5892692,42.3555847,-71.09878832,7.360518296350946,13.653217020361238,-1,-1,0.7
1740063569.427596,42.35558465852302,-71.09878805,7.378578383393972,13.65589588373649,-1,-1,0.7
1740063574.496211,42.35559191727023,-71.09877224,7.175513361944624,13.655965173859975,-1,-1,0.7
1740063647.843892,42.35558400020818,-71.098784,7.417946413939966,13.591344734990807,-1,-1,0.7
1740063647.878004,42.355582715604704,-71.09878444,7.407055453246606,13.590716927494798,-1,-1,0.7
1740064197.404753,42.35556680980827,-71.09878987,7.407055453246606,47.82506737806471,-1,-1,0.7
1740064197.9005098,42.355573616032444,-71.09879668,7.580735267423847,18.451539006320296,-1,-1,0.7
1740064270.918582,42.355569002183636,-71.09879825,7.569844306730488,25.766279864184618,-1,-1,0.7
1740064271.399678,42.355584893672244,-71.09877004,7.473393315656921,15.799053641216851,-1,-1,0.7
1740064603.959681,42.35557374999911,-71.09877386,7.462483281477233,40.02746162637639,-1,-1,0.7
1740064604.6186008,42.35557059634897,-71.0987895,7.317759818848426,18.853057352060645,-1,-1,0.7
1740064605.472365,42.35557129,-71.09879453,7.268434734497227,33.435532207454806,-1,-1,0.7
1740064641.367703,42.355574599798636,-71.09879785,7.185798909588293,19.673500814822244,-1,-1,0.7
1740064641.408001,42.35557191030885,-71.09879876,7.174907948894933,19.671596878097134,-1,-1,0.7
1740065397.809056,42.35559061910439,-71.09878197,7.035203813121566,17.87766316179955,-1,-1,0.7
1740065398.054923,42.35558839557372,-71.09878273,7.024297593639144,17.876234588885218,-1,-1,0.7
1740066673.928402,42.355578866409886,-71.09880717,6.789776947733461,10.506392464671631,-1,-1,0.7
1740066674.8255649,42.355578650379115,-71.09880724,6.789776947733461,89.17917989196849,-1,-1,0.7
1740066674.9139218,42.35558570745415,-71.0988142,6.856417616678765,19.907231480624258,-1,-1,0.7
1740066689.135823,42.35590192015608,-71.09909771,11.520766218973687,700.9327616423114,-1,-1,0.7
1740066689.138747,42.355901920158445,-71.09909771,11.520766218973687,700.9327749274256,-1,-1,0.7
1740066691.216301,42.354555082416866,-71.09722972,11.520766218973687,711.0896431812805,-1,-1,0.7
1740066691.219142,42.354555082414706,-71.09722972,11.520766218973687,711.0896469049757,-1,-1,0.7
1740066723.7905412,42.35605173380831,-71.0961691,11.520766218973687,1128.9165464609475,-1,-1,0.7
