Time,Lat,Lon,Altitude,Accuracy,Heading,Speed,Battery
1739951497,42.35558859,-71.09880784,10.8,20,-1,-1,0.95
1739951520,42.35557608,-71.09868574,6.557552761,12.84612121,-1,-1,0.95
1739951520,42.35444438,-71.09718829,11.22189373,1480.330199,-1,-1,0.95
1739951521,42.35559521,-71.09885022,6.9966191,19.99817664,-1,-1,0.95
1739951527,42.35559329,-71.09884734,6.993283512,19.97393729,-1,-1,0.95
1739951534,42.35559058,-71.09883748,6.924017225,19.97190111,-1,-1,0.95
1739951540,42.35559866,-71.09882873,7.003530376,19.9729481,-1,-1,0.95
1739951547,42.35562213,-71.0987403,6.944739795,19.97233812,-1,-1,0.95
1739951553,42.35559749,-71.09884146,6.395148568,19.97332198,-1,-1,0.95
1739951564,42.35558963,-71.09882286,6.580349453,19.61720801,-1,-1,0.95
1739951571,42.35559266,-71.09882892,6.48923586,17.78459975,-1,-1,0.95
1739951572,42.35557864,-71.09881719,6.608408269,19.99623319,-1,-1,0.95
1739951579,42.35557821,-71.0987911,6.686165785,18.98209713,-1,-1,0.95
1739951586,42.35558577,-71.09877385,6.731672651,19.91489431,-1,-1,0.95
1739951595,42.35559217,-71.09881678,6.836719293,18.06601747,-1,-1,0.95
1739951607,42.35558358,-71.0988063,6.871675975,13.41349153,-1,-1,0.95
1739951616,42.35557889,-71.09880121,7.196250243,13.3529273,-1,-1,0.95
1739951623,42.3555992,-71.09882399,7.222005981,19.97326081,-1,-1,0.95
1739951630,42.35560322,-71.09881128,7.091774667,19.97409873,-1,-1,0.95
1739951639,42.35558815,-71.098804,7.102902824,14.67667863,-1,-1,0.95
1739951645,42.35559288,-71.09883272,7.097618324,18.90426559,-1,-1,0.95
1739951652,42.35559297,-71.09883151,7.09239573,14.96097066,-1,-1,0.95
1739951661,42.35559449,-71.09884667,7.080697886,18.25993034,-1,-1,0.95
1739951667,42.3555987,-71.09881434,7.074814625,19.9724891,-1,-1,0.95
1739951674,42.35558056,-71.09880654,7.078279957,19.97709112,-1,-1,0.95
1739951681,42.35558174,-71.09880876,7.081728831,19.9386513,-1,-1,0.95
1739951687,42.35558529,-71.09878424,7.087713242,19.97211096,-1,-1,0.95
1739951694,42.35558124,-71.09881443,7.086831159,19.97208771,-1,-1,0.95
1739951700,42.35559557,-71.09882609,7.083525649,19.96808035,-1,-1,0.95
1739951707,42.3555983,-71.09881958,7.015265112,19.97613299,-1,-1,0.95
1739951714,42.35561207,-71.09882779,6.956354859,19.97448245,-1,-1,0.95
1739951720,42.35560058,-71.09884849,6.927796259,18.78008532,-1,-1,0.95
1739951728,42.35558344,-71.09878562,6.977032672,19.97746088,-1,-1,0.95
1739951734,42.35558715,-71.09883008,6.867049255,19.97547128,-1,-1,0.95
1739951738,42.35559229,-71.0988177,6.978886711,9.273257447,-1,-1,0.95
1739951739,42.35559301,-71.09881107,5.496893965,9.132556946,-1,-1,0.95
1739951740,42.35559357,-71.09880586,5.496893965,9.020555757,-1,-1,0.95
1739951741,42.35559462,-71.09879608,5.496893965,8.806223404,-1,-1,0.95
1739951742,42.35559552,-71.09878774,5.496893965,8.619289346,-1,-1,0.95
1739951743,42.3555956,-71.09878699,5.496893965,8.602179965,-1,-1,0.95
1739951744,42.35559637,-71.09877981,5.496893965,8.437742048,-1,-1,0.95
1739951745,42.35559698,-71.09877414,5.496893965,8.305390357,-1,-1,0.95
1739951746,42.35559747,-71.09876962,5.496893965,8.198540495,-1,-1,0.95
1739951748,42.35559373,-71.0987731,5.362396244,7.526251431,-1,-1,0.95
1739951749,42.35559215,-71.09877019,5.362396244,7.47674412,-1,-1,0.95
1739951750,42.35559084,-71.09876778,5.362396244,7.435311152,-1,-1,0.95
1739951758,42.35559004,-71.09876616,5.369425546,7.406600858,-1,-1,0.95
1739951759,42.35558812,-71.09876963,5.369425546,6.933604877,-1,-1,0.95
1739951760,42.35558905,-71.09876914,5.360492465,6.92755294,-1,-1,0.95
